,solutions ascent,times ascent
0,622006,1
1,383505,0
2,855553,0
3,1375722,0
4,1242684,0
5,784172,0
6,1200550,0
7,1985509,0
8,1221861,0
9,1139014,0
10,1014458,0
11,1288874,0
12,907811,1
13,995123,0
14,707281,0
15,1445604,0
16,635818,0
17,1791102,0
18,1596331,0
19,1485985,0
20,1042845,0
21,468676,1
22,1177253,0
23,1073654,0
24,1279872,0
25,877951,1
26,835100,0
27,877301,0
28,1321919,0
29,1186737,0
30,917570,1
31,986952,0
32,972107,0
33,1415307,0
34,1017073,0
35,1695672,0
36,1475985,0
37,1686463,0
38,1168824,0
39,2122730,0
