,solutions opt,solutions linear,solutions lgr,solutions asc,times opt,times linear,times lgr,times asc,dimention
0,1135822.0,687589.9557117806,347710.0,3692159,65,19,33,0,11
1,1236020.0,524126.6911534746,186734.0,4173373,50,19,21,0,13
2,1660121.0,1451196.2361971557,334453.0,3240562,80,50,16,0,15
3,2441975.0,1987029.7724943159,370746.0,7775000,95,37,15,0,17
4,2033743.0,1647735.2097301737,633125.0,2751792,61,60,23,0,19
5,4292960.0,3446406.2904339316,460146.0,8713083,70,49,38,0,21
6,2870196.0,2172893.049316363,369910.0,8397048,104,52,16,0,23
7,2717926.0,2072743.2284673534,302217.0,5358229,92,50,14,0,25
8,2625925.0,1944185.2607888107,268275.0,5785184,88,55,29,0,27
9,3063760.0,2593776.1749612284,638159.0,7744711,57,96,17,0,29
10,3661854.0,3103927.9155862257,340230.0,9122176,101,47,14,0,31
11,2908807.0,2549511.6174897584,441128.0,4589390,70,47,30,1,33
12,4921589.0,4271676.7071855925,348390.0,9774811,112,49,29,1,35
13,3424864.0,3099281.691890287,383410.0,7786513,70,52,29,1,37
14,2525656.0,2059975.653739802,485514.0,7234113,74,51,9,0,39
15,4032663.0,3431318.766085194,402933.0,12733584,123,52,8,1,41
16,6366228.0,5455976.549854275,427186.0,12605834,206,54,18,2,43
17,4866883.0,4095398.2757057403,477236.0,20414895,151,53,20,1,45
18,4791971.0,4126504.886668111,528436.0,9670795,109,67,20,0,47
19,6154432.0,5425611.083847775,413500.0,15014106,207,54,9,1,49
20,4592423.0,3889948.4915360482,617090.0,11468069,193,51,18,2,51
21,4960415.0,4449987.601297534,485604.0,6086167,117,58,6,1,53
22,4904347.0,4070566.545114874,258403.0,8528326,433,53,17,0,55
23,5807425.0,4843451.165302079,688152.0,15378078,248,51,12,0,57
24,4512821.0,3880626.598364896,537246.0,7649041,198,52,35,0,59
25,4913290.0,4306534.6066893935,523914.0,11013019,296,51,18,0,61
26,4013458.0,3251133.298684095,411417.0,11241764,226,54,9,1,63
27,6289986.0,5655262.421412081,519563.0,16246048,301,63,12,0,65
28,3831350.0,3431939.388256574,524648.0,9756203,114,52,17,0,67
29,6218159.0,5516830.06145298,441630.0,10160208,280,52,16,0,69
30,6010690.0,5243096.843122084,514885.0,9017261,499,70,13,2,71
31,6889407.0,6098832.162755171,411527.0,15791924,767,56,18,0,73
32,7139893.0,6368123.602140971,483750.0,12727565,320,51,19,0,75
33,6606656.0,5968369.312949831,465173.0,12927916,399,50,9,2,77
34,6183862.0,5170959.367273403,310457.0,12261303,481,71,11,2,79
35,6542121.0,5517903.45283961,523772.0,17878227,632,54,19,1,81
36,4511610.0,3803419.97626351,388311.0,7706376,329,54,17,4,83
37,5783289.0,5158114.954775396,610411.0,12701449,228,52,17,0,85
38,7819931.0,7043865.747894085,461594.0,16639141,832,53,18,0,87
