,solutions lagrange,times lagrange
0,347740.0,0
1,153212.0,0
2,312682.0,0
3,235673.0,0
4,525364.0,0
5,403838.0,0
6,273683.0,0
7,543384.0,0
8,676979.0,0
9,244161.0,0
10,511169.0,0
11,394389.0,0
12,528106.0,0
13,239164.0,0
14,455969.0,0
15,441358.0,1
16,125498.0,0
17,195739.0,0
18,224798.0,0
19,465172.0,0
20,415068.0,0
21,165564.0,0
22,711278.0,0
23,265070.0,0
24,173002.0,0
25,133225.0,0
26,340149.0,0
27,595775.0,0
28,76982.0,0
29,366783.0,0
30,374803.0,0
31,351784.0,0
32,603769.0,0
33,266869.0,0
34,308217.0,0
35,355370.0,0
36,383345.0,0
37,506295.0,0
38,315439.0,0
39,383004.0,1
