,solutions linear,times linear
0,622007.0061670874,0
1,383508.71727797436,0
2,855555.5160444169,0
3,1609000.8014055837,1
4,1242685.6551499348,0
5,784173.8383730871,0
6,1200552.6024563424,1
7,1985510.5851979344,0
8,1228725.987691688,0
9,1139017.1481175087,0
10,1014460.6188535249,0
11,1288877.407586207,0
12,907813.5688013136,0
13,995125.5275384149,0
14,756440.8459843473,2
15,1508197.9308594665,1
16,635821.0792863782,0
17,1791104.8446115286,0
18,1596332.4858727278,0
19,1485987.453963777,0
20,1066552.6852020202,0
21,1242732.3795986623,0
22,1177256.0618978804,0
23,1374090.6681922197,1
24,1279875.1390279823,0
25,879529.5867739747,1
26,835102.0992896606,0
27,877303.3101493157,0
28,1321920.2840028373,0
29,1303732.6117340506,1
30,917571.3643217182,0
31,986953.7381412548,0
32,972109.189578112,0
33,1415309.0485452157,0
34,1017076.1759944054,1
35,1695674.9221967962,1
36,1475988.269049392,1
37,1686465.391899542,0
38,1580142.5360370504,1
39,2181074.9919303684,1
