,solutions opt,times opt
0,1135822.0,15
1,1140355.0,4
2,1661846.0,3
3,2349919.0,3
4,2051136.0,4
5,1339417.0,2
6,1558301.0,2
7,2645708.0,3
8,1706258.0,3
9,1622391.0,2
10,1525137.0,3
11,1462532.0,3
12,1453910.0,1
13,1606673.0,2
14,1392662.0,4
15,2248896.0,2
16,1158052.0,3
17,2774620.0,2
18,2199503.0,2
19,2061039.0,3
20,1459051.0,2
21,1751394.0,2
22,1303181.0,2
23,1785506.0,3
24,2326406.0,3
25,1745346.0,2
26,1017427.0,2
27,1154467.0,0
28,2101710.0,3
29,1607862.0,2
30,980420.0,1
31,1524291.0,3
32,1215890.0,2
33,1603892.0,1
34,1812988.0,4
35,2242904.0,2
36,1845397.0,2
37,2339009.0,3
38,2593903.0,3
39,2987683.0,4
