,solutions ascent,times ascent
0,6875741,0
1,3633845,0
2,8166849,0
3,4916246,0
4,4927392,0
5,4430399,0
6,4772312,0
7,7150673,0
8,4520632,0
9,5388162,0
10,4173087,0
11,4783061,1
12,3552081,0
13,5375520,0
14,4700696,0
15,6394621,0
16,4134799,0
17,8528984,0
18,6087958,0
19,4273537,0
20,3694312,0
21,5026156,0
22,6095815,0
23,4361183,1
24,7290841,0
25,5241655,1
26,5191339,0
27,6200319,0
28,6231706,0
29,6988391,0
30,5249236,0
31,4232202,0
32,5972771,0
33,5632994,0
34,4605981,0
35,7795710,0
36,6200345,0
37,5499545,0
38,3960105,0
39,6928317,0
