,solutions lagrange,times lagrange
0,347599.0,17
1,153103.0,25
2,312532.0,10
3,235490.0,30
4,525177.0,9
5,403675.0,38
6,273464.0,22
7,543124.0,40
8,676756.0,17
9,243954.0,11
10,510942.0,30
11,394161.0,14
12,527896.0,27
13,238964.0,11
14,455812.0,30
15,441181.0,27
16,125258.0,23
17,195516.0,6
18,224606.0,23
19,464969.0,11
20,414937.0,14
21,165321.0,31
22,711006.0,12
23,264816.0,37
24,172784.0,21
25,133062.0,20
26,339921.0,24
27,595548.0,19
28,76715.0,28
29,366553.0,22
30,374571.0,43
31,351595.0,6
32,603548.0,15
33,266622.0,31
34,308035.0,8
35,355120.0,29
36,383178.0,11
37,506007.0,29
38,315185.0,19
39,382731.0,9
