,solutions linear,times linear
0,1135822.0,49
1,1140355.0,49
2,1661846.0,62
3,1150982.0,70
4,1943393.0,41
5,1339417.0,46
6,1558301.0,48
7,1962941.0,47
8,1208187.0,48
9,1438901.0,48
10,1417336.0,54
11,1462532.0,61
12,964697.0,37
13,1606673.0,53
14,903915.0,46
15,1450635.0,42
16,1158052.0,42
17,2344549.0,27
18,1888808.0,51
19,1743541.0,55
20,1033912.0,45
21,657320.0,44
22,1296704.0,58
23,1048800.0,51
24,1012337.0,43
25,620690.0,44
26,1017427.0,54
27,1154467.0,56
28,1512241.0,45
29,1389652.0,46
30,980420.0,47
31,1501869.0,46
32,1210929.0,44
33,1603892.0,47
34,1812988.0,48
35,2242904.0,52
36,1845397.0,44
37,2060121.0,51
38,1051059.0,47
39,1934346.0,52
