,solutions opt,times opt
0,1135822.0,5
1,1140355.0,4
2,1661846.0,3
3,1150982.0,2
4,1943393.0,3
5,1339417.0,3
6,1558301.0,2
7,1962941.0,3
8,1208187.0,2
9,1438901.0,3
10,1417336.0,2
11,1462532.0,2
12,964697.0,2
13,1606673.0,2
14,903915.0,3
15,1450635.0,3
16,1158052.0,2
17,2344549.0,3
18,1888808.0,2
19,1743541.0,2
20,1033912.0,2
21,657320.0,3
22,1296704.0,2
23,1048800.0,2
24,1012337.0,2
25,620690.0,3
26,1017427.0,2
27,1154467.0,2
28,1512241.0,2
29,1389652.0,4
30,980420.0,2
31,1501869.0,2
32,1210929.0,2
33,1603892.0,3
34,1812988.0,2
35,2242904.0,2
36,1845397.0,3
37,2060121.0,2
38,1051059.0,2
39,1934346.0,3
