,solutions opt,solutions linear,solutions lgr,solutions asc,times opt,times linear,times lgr,times asc,dimention
0,1135822.0,687589.9557117806,268965.0,687587,17,0,36,0,11
1,1236020.0,524126.6911534746,187264.0,524123,4,1,3,0,13
2,1660121.0,1451196.2361971557,462762.0,1448589,6,0,32,0,15
3,2441975.0,1987029.7724943159,426352.0,1866441,8,1,6,0,17
4,2033743.0,1647735.2097301737,735535.0,1525728,8,2,7,0,19
5,4292960.0,3446406.2904339316,448300.0,3260932,18,2,5,1,21
6,2870196.0,2172893.049316363,352587.0,2163168,4,1,6,0,23
7,2717926.0,2072743.2284673534,240724.0,2072738,10,2,7,0,25
8,2625925.0,1944185.2607888107,277236.0,1789428,13,1,6,0,27
9,3063760.0,2593776.1749612284,587500.0,2545010,2,14,6,0,29
10,3661854.0,3103927.9155862257,421961.0,3030418,19,1,8,0,31
11,2908807.0,2549511.6174897584,427274.0,2163562,7,2,8,0,33
12,4921589.0,4271676.7071855925,335907.0,3430689,40,1,9,1,35
13,3424864.0,3099281.691890287,384772.0,2787210,16,4,8,1,37
14,2525656.0,2059975.653739802,550786.0,2059967,17,2,10,1,39
15,4032663.0,3431318.766085194,265987.0,3141599,51,7,12,1,41
16,6366228.0,5455976.549854275,430183.0,4251403,115,14,12,1,43
17,4866883.0,4095398.2757057403,435793.0,4095388,42,13,13,1,45
18,4791971.0,4126504.886668111,347124.0,3760758,58,4,13,0,47
19,6154432.0,5425611.083847775,396972.0,5025854,139,16,15,0,49
20,4592423.0,3889948.4915360482,626223.0,3505368,82,9,17,0,51
21,4960415.0,4449987.601297534,545283.0,3300648,37,3,16,0,53
22,4904347.0,4070566.545114874,364122.0,3217686,361,3,18,0,55
23,5807425.0,4843451.165302079,632547.0,4466617,182,4,18,0,57
24,4512821.0,3880626.598364896,491777.0,3267188,151,13,19,0,59
25,4913290.0,4306534.6066893935,475476.0,3593693,293,7,21,1,61
26,4013458.0,3251133.298684095,414808.0,3139971,184,5,46,2,63
27,6289986.0,5655262.421412081,400867.0,5329044,301,17,17,1,65
28,3831350.0,3431939.388256574,525964.0,3418926,59,5,16,0,67
29,6218159.0,5516830.06145298,487399.0,4331957,259,7,27,1,69
30,6010690.0,5243096.843122084,462906.0,3599644,461,17,29,0,71
31,6889407.0,6098832.162755171,396666.0,4974142,685,7,28,0,73
32,7139893.0,6368123.602140971,459622.0,5007625,298,2,37,0,75
33,6606656.0,5968369.312949831,494526.0,4077252,373,7,41,0,77
34,6183862.0,5170959.367273403,428894.0,4128898,449,15,31,3,79
35,6542121.0,5517903.45283961,462197.0,4727342,750,6,66,2,81
36,4511610.0,3803419.97626351,454930.0,3071808,356,16,47,0,83
37,5783289.0,5158114.954775396,560143.0,4003943,212,2,27,2,85
38,7819931.0,7043865.747894085,506554.0,5387661,1019,7,44,0,87
