,solutions opt,solutions_linear,solutions_lagrange,solutions_asc,times_opt,times_linear,times_lagrange,times_asc,client_facility,cost_trans_setup,var_demand_type,var_capacity_type,ratio_capacity_demand
0,748303.8948042728,691019.0209965124,661571.2363330696,690973.4163080385,146,3,80,1,client >> facility,trans == setup,high,high,high
1,752154.8812328886,692611.2159907193,668644.4348825082,692572.0410822957,128,7,13,1,client >> facility,trans == setup,high,high,high
2,744913.8000380009,682273.4979165691,659045.6141723963,682235.0709790677,111,1,21,0,client >> facility,trans == setup,high,high,high
3,746112.1035773832,690906.0548402257,666644.8892008476,690867.8065653826,136,1,23,1,client >> facility,trans == setup,high,high,high
4,748884.0057133615,688883.1403753357,665709.6687235018,688846.5032433765,160,6,22,0,client >> facility,trans == setup,high,high,high
5,748303.8948042728,683778.5819295128,661193.4690935238,683737.4163080385,117,8,13,1,client >> facility,trans == setup,high,high,low
6,752154.8812328886,685358.7192407424,668281.4603545631,685318.4151336906,136,1,15,1,client >> facility,trans == setup,high,high,low
7,744913.8000380009,675132.9564357239,658597.7613759385,675097.0709790677,115,2,17,0,client >> facility,trans == setup,high,high,low
8,746112.1035773832,684143.038464613,666217.1414847434,684099.1652648235,117,4,21,0,client >> facility,trans == setup,high,high,low
9,748884.0057133615,681618.3674647188,665271.9982645975,681578.5032433765,140,8,21,0,client >> facility,trans == setup,high,high,low
10,762802.08182006,751200.5409559563,646181.7269457239,750883.5123397952,342,12,19,0,client >> facility,trans == setup,low,high,high
11,765775.133975643,754280.0442159063,649049.2334112435,753852.6489272708,352,3,15,0,client >> facility,trans == setup,low,high,high
12,753603.6400534475,735027.1300997498,644665.0560344732,734971.0621539822,712,8,22,0,client >> facility,trans == setup,low,high,high
13,759526.9353886668,748947.0509564809,646565.2803896661,748778.5545737725,373,1,17,0,client >> facility,trans == setup,low,high,high
14,759723.8885400428,745326.9184939112,652487.0981756868,745285.9936769137,83,12,22,0,client >> facility,trans == setup,low,high,high
15,762957.4796561097,751364.1125528757,645588.6304031258,750939.5456372894,523,3,14,0,client >> facility,trans == setup,low,high,low
16,765276.1577313909,753772.6853250851,651007.9824184667,753280.6489272708,138,8,15,0,client >> facility,trans == setup,low,high,low
17,753739.5306594421,734738.4025358863,646702.9877936809,734684.0621539822,246,3,13,1,client >> facility,trans == setup,low,high,low
18,760467.3146033736,750095.1742173621,647288.0861935478,749935.1295146333,3013,11,50,0,client >> facility,trans == setup,low,high,low
